Sum of normalized_frequency	Column Labels										
Row Labels	Art	Children	Ethics	Jews	Language	Law	Literature	Politics	Religion	Science	Grand Total
2002	0.651215108	0.164777156	0.062654787	0.439570198	0.226938598	0.163790467	0.187471016	0.127282953	0.106069127	0.481997849	2.61176726
2003	0.616433728	0.176198174	0.052495621	0.361232244	0.229213553	0.156967104	0.181915518	0.146571932	0.109149311	0.518719107	2.548896293
2004	0.581346406	0.153011959	0.064869148	0.457550323	0.232241452	0.164401198	0.187674862	0.129243111	0.114387581	0.532323157	2.617049197
2005	0.58155676	0.176804945	0.05309019	0.324872998	0.216744354	0.194826385	0.198722913	0.153425778	0.126150085	0.468070391	2.494264798
2006	0.568010651	0.17346433	0.070940595	0.445565241	0.218166623	0.166661808	0.191442426	0.153056762	0.133135088	0.513590469	2.634033993
2007	0.440647227	0.179942758	0.061870082	1.124051876	0.171913816	0.165774037	0.197889805	0.19458377	0.123740165	0.563915101	3.224328639
2008	0.376319982	0.169797102	0.060573685	0.854709008	0.169320144	0.172181893	0.222739457	0.192214135	0.117331705	0.516545678	2.851732789
2009	0.331075721	0.165079307	0.068783045	1.234884926	0.134356214	0.170123397	0.293474323	0.192133971	0.103174567	0.492945152	3.186030622
2010	0.342496663	0.150584524	0.056528575	1.505845245	0.139183803	0.175761117	0.250815864	0.191912138	0.113532181	0.447953333	3.374613444
2011	0.294468723	0.162771656	0.069547889	1.16110448	0.113446912	0.153399955	0.265860372	0.214562637	0.114926654	0.469571565	3.019660843
2012	0.319073009	0.154288593	0.066123683	0.642344347	0.114929258	0.136970486	0.252949326	0.258722029	0.119652378	0.48648138	2.551534489
2013	0.333709289	0.145343767	0.057556132	0.749973838	0.111042638	0.119763264	0.199411648	0.270339407	0.134297641	0.388358546	2.50979617
2014	0.209434144	0.095110001	0.075895859	0.144106062	0.105677779	0.072053031	0.093188587	0.296858488	0.143145355	0.210394851	1.445864156
2015	0.17452007	0.099725754	0.17452007		0.049862877	0.074794316		0.299177263	0.074794316	0.074794316	1.02218898
Grand Total	31.33469366	9.80548753	3.603823821	15.25980234	16.37539524	12.25717513	10.3881258	8.841745244	8.613167088	27.36877598	143.8481918
