Sum of normalized_frequency	Column Labels					
Row Labels	Art	Education Economics	History	Religion	War	Grand Total
1886	0.293156881	0.19264595	0.117262752	0.150766396	0.025127733	0.778959712
1887	0.20241276	0.137640677	0.105254635	0.153833698		0.59914177
1888	0.247762148	0.127877238	0.103900256	0.223785166		0.703324808
1889	0.146080182	0.121733485	0.097386788	0.18665801		0.551858465
1890	0.199586571	0.106921377	0.114049469	0.185330387		0.605887804
1891	0.131436524	0.100510283	0.092778723	0.131436524		0.456162054
1892	0.298833819	0.138483965	0.072886297	0.109329446		0.619533528
1893	0.183190445	0.139224738	0.102586649	0.139224738	0.007327618	0.571554188
1894	0.215734215	0.079102546	0.107867108	0.194160794		0.596864663
1895	0.176566142	0.134190268	0.084751748	0.148315559	0.014125291	0.557949008
1896	0.214369684	0.096812115	0.12447272	0.089896964		0.525551483
1897	0.116159891	0.116159891	0.095661086	0.157157499		0.485138367
1898	0.169314926	0.084657463	0.097681688	0.162802813		0.51445689
1899	0.187000258	0.148310549	0.058034563	0.109620841		0.502966211
1900	0.233988753	0.128316413	0.094350304	0.10567234	0.071706231	0.634034042
1901	0.197860632	0.173128053	0.074197737	0.154578619		0.59976504
1902	0.141501091	0.170980485	0.112021697	0.170980485	0.005895879	0.601379636
1903	0.173552794	0.229537566	0.072780204	0.117568021		0.593438585
1904	0.140608945	0.189281272	0.091936618	0.140608945	0.016224109	0.578659889
1905	0.178474851	0.151433207	0.064899946	0.162249865		0.557057869
1906	0.225840336	0.173319328	0.110294118	0.115546218	0.005252101	0.630252101
1907	0.176229721	0.165863266	0.077748406	0.191779402		0.611620795
1908	0.203929371	0.203929371	0.069634419	0.11937329		0.596866451
1909	0.192780375	0.23133645	0.067473131	0.173502337	0.009639019	0.674731312
1910	0.202778497	0.220036241	0.051773233	0.125118647	0.043144361	0.642850979
1911	0.25519341	0.183560172	0.053724928	0.134312321	0.008954155	0.635744986
1912	0.214059423	0.239746554	0.034249508	0.1113109	0.021405942	0.620772326
1913	0.205558648	0.149886514	0.059954606	0.11562674	0.021412359	0.552438868
1914	0.216791486	0.152739456	0.049270792	0.088687426	2.695112337	3.202601498
1915	0.202171471	0.134780981	0.074878323	0.127293149	9.195058031	9.734181954
1916	0.19088523	0.167024576	0.047721308	0.079535513	8.120575837	8.605742464
1917	0.24068323	0.139751553	0.054347826	0.077639752	7.531055901	8.043478261
1918	0.22520711	0.144775999	0.024129333	0.064344889	6.884903081	7.343360412
1919	0.229568411	0.223829201	0.040174472	0.103305785	4.947199265	5.544077135
1920	0.251993036	0.219921195	0.054980299	0.068725373	2.226702098	2.822322001
1921	0.234352114	0.1367054	0.03417635	0.087882043	1.679523484	2.172639391
1922	0.324032403	0.279027903	0.0270027	0.072007201	1.260126013	1.96219622
1923	0.340656628	0.311034313	0.049370526	0.098741052	0.997284621	1.797087139
1924	0.301732529	0.291999221	0.053533191	0.141132957	0.832197781	1.620595678
1925	0.21271054	0.217051571	0.043410314	0.104184754	0.907275569	1.484632749
1926	0.299300228	0.358317174	0.075878931	0.084309923	0.649186409	1.466992665
1927	0.276055211	0.26005201	0.044008802	0.120024005	0.640128026	1.340268054
1928	0.294013877	0.258732212	0.043122035	0.113685366	0.705633306	1.415186797
1929	0.276393647	0.20242915	0.066178761	0.116786048	0.78635939	1.448146995
1930	0.242605872	0.239038139	0.032109601	0.085625602	0.988262157	1.587641371
1931	0.251878768	0.239491287	0.024774961	0.074324882	0.747377983	1.337847882
1932	0.197767426	0.298848554	0.039553485	0.10547596	0.672409247	1.314054672
1933	0.216229967	0.203510557	0.042398033	0.055117443	0.606291868	1.123547867
1934	0.223850224	0.21978022	0.048840049	0.101750102	0.716320716	1.310541311
1935	0.291568802	0.178180935	0.032396534	0.068842634	0.570988904	1.141977808
1936	0.226134712	0.189791633	0.032304959	0.088838637	0.504764981	1.041834922
1937	0.236776627	0.180592343	0.072236937	0.096315916	0.437434786	1.02335661
1938	0.221584984	0.221584984	0.078206465	0.09558568	0.543100452	1.160062565
1939	0.226055334	0.17691287	0.717479974	0.108113421	1.189247629	2.417809229
1940	0.349608912	0.207395117	3.253140555	0.059255748	3.673856364	7.543256696
1941	0.252023828	0.145104628	4.009469986	0.129830457	4.2691309	8.805559798
1942	0.383798791	0.18781643	4.197288911	0.097991181	4.434100931	9.300996244
1943	0.27615591	0.236705065	3.992425438	0.142023039	4.237020672	8.884330125
1944	0.300248778	0.205884876	3.585828258	0.094363902	3.731663378	7.917989191
1945	0.448210659	0.238111913	5.196442328	0.119055956	5.29448841	11.29630927
1946	0.54897132	0.359140116	3.186085886	0.076958596	3.165563593	7.336719512
1947	0.501293661	0.301854248	1.687149633	0.102414834	1.676369125	4.269081501
1948	0.54959714	0.277466517	1.237927539	0.170748626	1.189904487	3.425644309
1949	0.396998042	0.277354797	0.968022623	0.114204916	0.935392647	2.691973026
1950	0.450031796	0.283715697	0.709289243	0.117399599	0.665264394	2.225700729
1951	0.365938087	0.217584809	0.682425082	0.098902186	0.667589754	2.032439917
1952	0.341233976	0.230563497	0.719358111	0.133726828	0.765470811	2.190353223
1953	0.341281602	0.211055728	0.529884593	0.10328259	0.511922403	1.697426916
1954	0.514201763	0.257100881	0.60806399	0.126509958	0.60806399	2.113940581
1955	0.501213877	0.215365338	0.575612812	0.078314668	0.563865612	1.934372308
1956	0.493126121	0.220412433	0.556634788	0.100866707	0.545427376	1.916467424
1957	0.467383995	0.16139879	0.501008742	0.104236718	0.544720915	1.778749159
1958	0.4174845	0.152662243	0.510951179	0.105928903	0.563915631	1.750942456
1959	0.403854979	0.195808475	0.575187395	0.116261282	0.602722962	1.893835093
1960	0.427443507	0.171521917	0.631636265	0.127960795	0.647971685	2.006534168
1961	0.373842363	0.195417599	0.555099266	0.110453425	0.591917075	1.826729729
1962	0.376929686	0.160749425	0.65962695	0.146891716	0.69011391	2.034311688
1963	0.456559326	0.167495137	0.645666739	0.113464448	0.726712773	2.109898422
1964	0.38795779	0.14742396	0.861266294	0.131905649	0.964721705	2.493275398
1965	0.392899068	0.196449534	0.788193862	0.095829041	0.891210081	2.364581586
1966	0.373656099	0.210897921	0.745019829	0.096279486	0.81379089	2.239644224
1967	0.37989797	0.204059481	0.640399436	0.108542277	0.67730381	2.010202974
1968	0.384404174	0.228107971	0.593503147	0.097157099	0.671651248	1.974823639
1969	0.34716306	0.215113307	0.651729426	0.085193389	0.713494633	2.012693815
1970	0.340367597	0.172185961	0.820886557	0.08609298	0.892964402	2.312497497
1971	0.390553113	0.141089868	0.766792761	0.08792557	0.809733156	2.196094469
1972	0.416599581	0.175092578	0.794960554	0.092577685	0.823136371	2.302366769
1973	0.346198738	0.174088508	0.911986389	0.061326634	0.955508516	2.449108786
